Username,Tweet,Sentiment_Value
itsjustalbert,"I just realized that Tati started James Charles career and now she's ending it. 

Wow, such a powerful woman. https://t.co/Re31KbsA79",positive
kingsarai_,"okay, can we now focus on something else other than this James Charles and Tati Westbrook drama. it was fun while it lasted.",positive
choisoobinsgirl,They literally work their hardest for us and we do the same in return and we have never questioned their sincerity... James Charles you should take notes because your half assed apology isnt cutting it....  #BTS #BTSBestSellingKoreanAlbum #JAMESCHARLESISOVERPARTY #Tati https://t.co/9w6jpfZYiP,negative
joolieanneM,watching james charles' subscriber count go below 16m and tati's go above 6.4m https://t.co/NXoHFXyvfl,neutral
bluerazzindigo,Tati Westbrook's video about James Charles is the best birthday present I've ever received,positive
deathstatements,"me when James Charles posts his response to tati?s video
#jamescharlesisoverparty https://t.co/P3l0INDlr2",neutral
angelxsavannah,Why does James Charles 8 minute video seems longer than Tati?s 43 min  video ????,neutral
LzMo,Sister Sinking (James Charles/Tati/Daniel Zamora Subcount Palooza) https://t.co/vwu4SSYMDH via @YouTube #ByeSister,neutral
Sparkling1607,"literally the most 2019 thing ever is the trending topics:
-Detective Pikachu
-James Charles
-Tati
-Jefree
-Laura Lee
leik...",positive
pettybitchdaily,Just some of the comments on James Charles video adressing Tati ... these are funny asf ?????????? #jamescharlesisoverparty #ByeSister https://t.co/G8eBYniaK5,positive
jettalikespizza,"@maryjuanna_ I was just saying this. I do like Tati but shes very self serving. You don't care when Jeremy Triangle is racist af, and you didnt care when James Charles was soliciting str8 men for sexual favors, but now that he signed a contract with sugar bear hair hes problematic?? Hmmm ??",positive
JessiBandAid,@xMiyuYamanox Yeah. The last hour and a half was spent internet researching James Charles and Tati Westbrook.,negative
koyasmommy,@cherryparkmyg Lmao basically James charles fucked up big time and Tati exposed him on her youtube channel.,neutral
NapsandNugs,Tati Westbrook on her way to end James Charles career https://t.co/Xpzusg83MG,neutral
carlosgomz01,Tati spilling all the James Charles tea https://t.co/rFG7Ig3kxS,neutral
BlackHyugaBoy,The fact James Charles is loosing the same fan base that Tati helped build for him JUST for her to gain it in return. Now that?s power. Lesson for today: Don?t bite  the hand that fed you! https://t.co/EinUb3YE9X,negative
Timkoleto,@jakeyoncetv can you please make a james charles vs tati westbrook video,neutral
ryuokayannie,okay there?s sooooo much buzz going on with the tati + james charles drama and idk what to say at this moment,positive
prodjiho,HEJSJSJSJSJSJS THIS TATI AND JAMES CHARLES TEA IVE NEVER SCREAMED LOUDER IN MY ENTIRE LIFE THIS IS GOLD https://t.co/Q3lpS5U5YV,neutral
CapricornMale,Everyone thinks it was Tati who brought upon James Charles? destruction...when it was really @jovanrisen behind it all along ??????,negative
jasminedutra3,so disgusted that i even put money into james charles pocket four months ago! tati really just ended his career anyways ??,negative
TaylorKayYT_,Me just laying in bed reading tweets about the James Charles and Tati scandal... ?? https://t.co/tKQZF4L6CF,neutral
MattMMajka,@TraeHopkins @kwoozie22 @KathleenLights1 It?s actually the stupidest thing ever... I saw a bunch of posts about it and I thought he said some super ignorant/racist/harmful shit but uhhhhh not quite https://t.co/tLDFSlcWeE,positive
meganroseoxo,@MellowvVictor @arianasfaqqot Jeffree star and Shane Dawson unfollowed James Charles after Tati?s video was posted. Jeffree also subtweeted James posting a pic with Tati.,neutral
neriahh13,i dont even keep up with youtubers but i'm so invested in this tati and james charles drama?,neutral
tcekenn,Tati Westbrook after exposing James Charles https://t.co/wQqgI7axPx,neutral
sophazey,Me as helllll I don?t give a shit about James Charles or the beauty community but I love drama and Tati?s video was IT ?? https://t.co/6jsyXyCdgU,positive
asukahomo,james charles went from PINKITY DRINKITY to overpriced tickets to met gala flop to horrible singing to the tati exposure and honestly i blame it on the PINKITY DRINKITY,negative
summer0001,"James Charles tried to drag Tati Westbrook. That backfired. Much love and respect for Tati. Girl he didn't break you, all he really did was empower you!  ?? https://t.co/jnpGHkT5ud",positive
Iipashigh,i can?t with this james charles tea tati really outsold,positive
VictoriaBrock92,Watching people start to comment on this whole Tati and James Charles situation. https://t.co/3ymqVX8uqx,positive
Bella_Martinez3,James Charles after Tatis video #Tati #jamescharlesisoverparty https://t.co/aBWUzNw7Fz,neutral
lexluxxe,Who is this Tati and how was she able to take down James Charles?,positive
598013C,"this Tati &amp; James Charles thing is so lame! 
if we stop being friends and you feel the need to ?expose? me, talk about all the things you?ve done for me &amp; paint me in a negative light .. YOU WERE NEVER A TRUE FRIEND.",negative
bbibbiyellowc,I always thought Tati was a class act but today I watched her video about James Charles and I saw a masterclass in rising above drama and being honest and authentic. I am glad she had more attention because she deserves it,positive
AndreaNmR,"I?ll stay up until this live stream ends. 

Sister Sinking (James Charles/Tati/Daniel Zamora Subcount Palooza) https://t.co/aaMBC6YV0E via @YouTube",positive
angelthatsinss,"@kitten_angels_ so basically, tati called james charles out on all the shit he's done not only to her but in general; she also doesn't want to be associated with him anymore
she did it in a very mature and well-composed way that quite frankly i'm impressed
and everyone's unsubscribing james lol",positive
andralixx,James Charles finally responded to Tati calling him out fnejdnrn WHAT IS THIS https://t.co/7P4o7R30vg,neutral
nikholeex3,amid all of this james charles and tati drama i just really want to know shane dawson's viewpoint of this.,positive
sadlostqween,"me and my mom?s convo about the tati vs james charles situation:
me: bet it?s gonna reach 14 mil in 24 hours?
my mom: 24 hours? in a few hours he?s gonna have 14 mil
BITCH I HOPE TF HE DO GKSVFKSVFK",negative
rewert96,"Honestly I?m not heavily invested in the makeup guru side of YouTube and never heard of Tati until now but I?m Team Tati over James Charles any day, something always seemed off about him and I couldn?t put my finger on it and now here we are lol",positive
dayana_zuleika,Tati watching James Charles subaccount https://t.co/K6Y8Fwmqvi,neutral
BedheadRuth,"@Piquedique @Joshkaneee james charles/tati, constance wu and something else too. Well at least its all nicely written for you in buzzfeed articles lol",positive
evmimc,james charles after tati DESTROYED his career https://t.co/8j44WYAHWe,neutral
RileyRLeight,"""feud: tati westbrook and james charles"" coming to FX in 2023",neutral
crystalyahairaa,I just watched tati?s video and I?m throwing away my James Charles palette,neutral
itsflowerbb,"Wasn?t going to put out my opinion about the whole Tati and James Charles break that?s going on, but nobody follows me, so literally nobody gives a fuck. I?ll say what I have to say",negative
yuhchev,"James Charles got what he deserved, we stan queen tati",neutral
JenniferIMendes,Y?all James Charles seriously name?s his vid ?Tati? so that when people search up Tati for her vid his vid is the one that comes up first. This boy (not gonna say man because he acts like a lil bitch) is unbelievable,negative
Daeniaaa_,"other students: study
me: watching tati?s video spilling TEAS about james charles",negative
nunucadisi,James Charles making a apology video means he admits Tati did not lie. I am not even going to give him views for that.,neutral
cwilder__,"tati: ends james career

james charles: makes apology video to tati

laura leech: claims copyright on his terrible apology video

raini: ends entire beauty community with her looks??",negative
SSJGovon,@PrxncessValeria When James Charles and his friends were seeking out and giving statements to drama channels and posting videos invalidating her feelings I do believe it did needed to be public. All Tati said is that she wants it out in the open so nothing can be used against her.,positive
ccruz5050,james charles on tour ready to perform new rules in front of people who bought tickets before tati canceled him https://t.co/KiQkRmydPn,positive
TheNashelli,Someone is hosting a live Tati and James follower count tracker and said their friend said you can use code ?TATI? for 100% off James Charles ??,positive
lisuahh,tati ENDED james charles and did it in the most polite and mature way ??,positive
8da_martin,unsubscribed from James Charles ?cause his ego was getting bigger by watching him in videos. his ?apology? video isn?t genuine just like those that other people have made. Tati?s body language makes me believe she was truly hurt. Glad I never supported his brand. Be humble always,positive
xBerserkerSaix,James Charles addressing the Tati Westbrook situation on his way to the homeless shelter: https://t.co/eQuy9EYRbF,neutral
jakegrnr,JAMES CHARLES RUINED TATI'S WEDDING MEMORIES OMFFFFG....,neutral
annaou25129622,"me: i?ve never really had a taste for James Charles-

Tati: He is manipulative attentio-

me: https://t.co/KOMLaE1jDa",negative
hanisnotonline,people that don?t stan tati or james charles who are stumbling upon all this SCALDING tea: https://t.co/xBgURT4euk,neutral
InfoProNetwork,"IAM Platform Curated Tweet

Laura Lee vs. James Charles: Twitter Debates Who Had the Worst Apology After Tati Westbrook Drama - Newsweek - 

https://t.co/YFDp1VPrsw",negative
shashg9,@duckduckcrucio Are you talking bout that stupid tati &amp; james charles thing? Lol,positive
bitchesaintshe,Use code ?tati? for 100% off of James Charles ??,neutral
slfcaresily,"so tati westbrook made a 48 minute video about james charles so i?m going to be talking a little about the main points
she was saying how she has been helping james ever since he was about 16 and how she was always there for him but not things have gotten to far",positive
grace_mcglumphy,"So much is happening...Tati Westbrook just did that!...women wont be able to use birth control?...James Charles lost more than 500,000 subs in a few hours and counting ha!",positive
newscomauHQ,A social media battle of mammoth proportions is playing out between leading millionaire beauty bloggers @jamescharles and @GlamLifeGuru. https://t.co/RUu2or1qAg https://t.co/bVILu3PSB0,positive
finitetus,"@Cindydefretes go watch Tati, James Charles, and Spill channel
seruuuu~",neutral
namjoontitties1,"James Charles:..?? yummalicious ?? 
 Tati: https://t.co/f2a7K1tc6F",neutral
ORyanBeauty,"How James Charles should?ve apologized to Tati Westbrook and his Fans. ?

@jamescharles maybe you could learn from this one and not block me before like you did last time? ??????? https://t.co/7XnT3d1jyr",neutral
HeyCarlXYZ,"Tati, James Charles, Jeffree Star, and Laura Lee all trending. I'm here for the tea. #ByeSister",neutral
stainedsnake,me tweeting about James Charles &amp; Tati multiple times today to try to get a hit tweet https://t.co/QZnIcOh5gq,neutral
_amirajjk,It?s a big day for us people who never liked James Charles but needed a reason to dislike him and now Tati gave us one. https://t.co/Hy9MQoRnEB,negative
MsBlueLipstick,LOL!! you knew someone was going to do it  James Charles vs Tati Live Subscriber Count https://t.co/FuiwiOT30A via @YouTube,positive
thewandergirl_,"I?m with you on this Tati. I don?t like James Charles and I never liked him from the start. He?s arrogant, entitled and disrespectful. https://t.co/WIOhhMBOUC",negative
jungguked,wait what happened between james charles and tati,neutral
antodo11,"From the gage gomez, met gala, and Tati Westbrook scandal this not a good year for James Charles ??",negative
uwuheartsoul,Holy macrons James Charles just reached 15 mil subs in less than couple of hours ..... what Tati just did honey omfg,negative
melovenigahiga,Me watching James Charles? sub count going down and Tati?s sub count going up https://t.co/qo2sI1yqfZ,negative
KhaliaEvette,@roseglowhoney ???????? YouTuber Tati Westbrook airs her issues with James Charles  https://t.co/oRldesvM8f,neutral
natoramics,"the fact that James made a whole 8 minute video of a wack ass apology to Tati WITH ads (getting money from that) 
and Tati made a 43 minute WITHOUT ads, getting absolutely no money from it. 
Here you go, folks. 
James Charles cares only about his image.",positive
Nathan_GKovacs,"*reads tea about james charles on twitter*

tati: awh alexa play ?bury a friend? by billie eilish",neutral
75KlWl,yeah james charles is trash and the stuff tati exposed him for was trash but i just wanna know why no one seemed to care when they found out he was a racist,neutral
_beee23,James Charles should?ve known he fucked up when he decided to screw over Tati. NO ONE TAKES ADVANTAGE OF TATI! She?s such a genuine soul &amp; an example of what every YouTuber should be. Losing over 100k subs is exactly what he deserves.,positive
mikagaaayma,"Can Tati Westbrook be my new mom

Cons: I can't do anything for shit
Pros: I'm not James Charles",negative
e_newsUS,James Charles Breaks Down In Tears As He Apologizes To Tati Westbrook: ?I?m So Disappointed In Myself? - https://t.co/3s9TfruB0E https://t.co/tDvSZnoHWZ,negative
Ashphyxiated1,James Charles: cancelled. Tati: subbed. Halo: bought,neutral
MadiKryg,"While watching Tati?s video about how whack James Charles has become, he lost 40,000 subscribers. LOL.",positive
venusin12th,Both Tati and James Charles have Libra Mars,neutral
moonschildkth,"in less than 12 hours tati?s video has gathered over 5.5 million views and she has gained over half a million subscribers while james charles has lost around 600k, this is poetic justice! https://t.co/5vywCqArhG",positive
juiliano_megan,oh what am i doing tonight? watching james charles? subscriber count plummet while tati westbrook?s skyrockets,neutral
Mor1a,Me spreading the Tea about James Charles and Tati's drama on every social media https://t.co/TLXpxutUmR,positive
_maddyheller_,i?ve never seen a james charles video in my life but you bet your ass that i?m watching tati?s video because i?m a messy bitch who loves the drama,negative
cortinatm,"oh my god james charles has lost 500,000 subscribers because of tati and i wouldn?t have it any other way",negative
ValeriaaC12,"@saritakarina @xdependable @zztake13 Watch Tati Westbrook?s video first, Gabriel Zamora, and then James Charles and you?ll be caught up lol",positive
roselepsch,james charles calling tati his mother even after she canceled him is so cringeworthy,neutral
Jo_lovesparis,"I don?t really follow the beauty community even when all that drama happened last yr, but recently Istarted watching James Charles,&amp; Jeffree Star videos. I never knew who Tati was but after today, I stan w/her &amp;Jeffree &amp;unfollowed all of James Charles started following Tati now",positive
gutrot32,Sister Sinking (James Charles/Tati/Daniel Zamora Subcount Palooza) https://t.co/t0Sfy6G0sX via @YouTube YALL LOOK AT THIS,neutral
flowerbookworm,@askmenfess definitely tati! never been into james charles honestly????,positive
Jonnny_Tsunami,Man I thought James Charles killed somebody or something why I just watch this 45 minute Tati video she talmbout gummie bears,negative
TIMESNEWROMANSE,why is james charles apology to tati the emotional equivalent of going into a socratic seminar and paraphrasing the sparknotes summary of a book you didnt read to try and get participation points,neutral
darciaan,Can someone explain to me why James Charles is cancelled I don?t wanna watch Tati?s 40 min video,neutral
HarlesPlayworld,YouTuber Tati Westbrook airs her issues with James Charles  https://t.co/XDtCReO0hI,neutral
karenljm_,Honestly EVERYONE needs to watch the Tati vid and IS JAMES CHARLES GETTING APOLOGY LESSONS FROM LAURA LEE??? LOL I AM DEAD. https://t.co/3pqUXegw4N,positive
igiveupIol,the whole of twitter rn to tati after she ended James Charles' career in 43 mins: https://t.co/YJwkUJdVcI,positive
luvsites,the tati james charles drama is such a gift honestly i was so bored until just today i LOOOVE drama,positive
flkmee,We all make mistakes y?all need to hop off of James Charles dick y?all are a bunch of big ass cry babies just like that chick Tati Westbrook,neutral
kyeluh,James Charles response to Tati?s heartfelt and intelligent 43 minute long video: https://t.co/Z6Ckrdse5v,positive
fluffy_nb_owo,What did Tati call James Charles out for,neutral
Tea_extraHotPlz,"""James Charles"" Has lost over 300,000 subscribers since the posting of Tati's new video.",positive
Jonathan_Celis_,@realDonaldTrump What are your opinions on the Tati and James charles drama?,neutral
swlr_,I tried watching that James Charles apology to Tati and it?s so obvi that it isn?t genuine at all.,positive
melissahoyer,"Massive personal falling being played out ON YouTube by millionaire YouTubers @GlamLifeGuru &amp; @jamescharles - in a nutshell, it?s contour brushes &amp; lip gloss at 10 paces. https://t.co/UZM7x96HeR @newscomau #jamescharles #tatiwestbrook https://t.co/vn3fG0mL1n",neutral
lydianewtonn,i sat through Tati?s entire 46 minute video fully entertained and couldn?t sit through 2 minutes of james charles ?apology? lol,positive
SassAFrass530,tati?s video on james charles is the TEA. we love her,positive
Impyydoo,Sitting here waiting for Jeffreestar to say smth about this whole tati and james charles' drama.. y'know all these dramas won't matter till jeffree say smth about it. ??????,positive
lethalqt_,"Bruh I?m pretty sure we all knew that James charles was bad, but after Tati? https://t.co/exVqoSKhBU",positive
Hema_ByrnesArmy,"So I thought the whole subscriber count difference between James Charles's &amp; Tati's channels were like fake or sth but it's actually real. He's on 15M now &amp; hers are still going up. I don't follow either of them &amp; I don't care rlly about them tbh but this is so exciting, lmao https://t.co/QSQLogCNY4",positive
djbystedt,@HereForTheTea2 Tati?s latest video. It?s about James Charles. It?s 45 minutes of tea.,positive
payterthots,god i am so here for tati vs. james charles get him outta here https://t.co/QXQi0cGM9H,neutral
frowningboner,"James Charles: I never said-
Tati:
 https://t.co/ny7wxJwWm9",neutral
fearlessinners,"taylor swift never followed james charles before and after tati exposed him, a real queen https://t.co/WRpX17SAGS",positive
kaoarsenal,"TATI? More lang TA-TEA.

James Charles camp is def on the rocks right now after Tati drop the truth bombs!

Bye sister @jamescharles!

#JamesCharlesIsOverParty https://t.co/Y6qVqvHEmO",positive
whydyouhave2BOO,I?ve literally only ever watched one James Charles video but catch me out here watching a 45 minute long video from Tati Westbrook about why he ain?t shit and I?m gonna nod along like I know,negative
hanisnotonline,"*james charles admits to only going after straight men*

tati: *exposes james for going after straight men*
gage: *exposes james for going after him*

me: https://t.co/4KyWqr6wEm",positive
luckyyyangel,watching the james charles tati shit unfold is fucking mesmerizing,positive
joanaseyeliner,"james charles got DRAGGED to FILTH, i commend tati for telling the truth ????",neutral
won4ndonly,"tati when james charles was talking about sucking dick in front of his parents
 https://t.co/MC5M8uzQMa",neutral
benintendisflow,"Knowing all we know about things James Charles does from Tati?s videos, do you guys think he ever tried something with Grayson and that?s why the Sister Sqaud broke up? #ByeSister #jamescharlesisoverparty",neutral
bitchass_person,"Me: *knows James charles is an awful human being*
Tati: *exposes him*
Me: https://t.co/auxkpnoj18",negative
ariichui,"Tati officially cancelled James Charles and honestly, he had it coming. https://t.co/pWQbgeyWX6",positive
featuringroses,me coming home after seeing endgame to watch tati?s 43 minute video exposing james charles https://t.co/WfjyXmtZWT,neutral
nooyatoo,Honestly the only reason I was ever even chill with James Charles despite all the controversies was bc Tati supported him. Guess we?re done with a certain sister now ???????,positive
multifandomderp,James Charles' career after Tati exposes him: ERROR 404 NOT FOUND https://t.co/qbgfDswGmD,neutral
azidrain_,Damn I feel bad for cancelling tati westbrook when she was backing james charles when he was getting cancelled cos now she just cancelled him and idk where I stand,negative
faithborn13,Someone. ANYONE. talk to me about James Charles and Tati?s video about him!!! Omg.,neutral
alishaterrie,But is anyone else waiting for @JeffreeStar to officially chime in on the #tea between Tati &amp; James Charles ? #jamescharlesisoverparty #ByeSister,neutral
BedheadRuth,"@kittje @TeenaNawabi lol Idk if this is true but ""whew, he's [james charles] lost over half a million subs and counting and she's gained nearly half a million. tati's not shit herself but she played that move brilliantly"" if true....she know what's she doing https://t.co/LhJt85pDuW",positive
JaneczekKatie,"The only thing I?m going to say about the James Charles and Tati scandal is that I will believe every word that Tati says due to how truthful she has been over the years and it?s crazy that her first big scandal is with someone she loved and cared about, James you blew it",positive
1800ZARYAXO,tati westbrook vs james charles https://t.co/QNJigQ6pRw,neutral
NicoleexHelena,James Charles writing out his scripted apology to Tati https://t.co/4nrlEr32HM,neutral
ShavonnaVonna,Can somebody catch me up on the James Charles &amp; Tati situation ? ?? I?m completely lost !,positive
aestheticsella,"But why is James Charles in the trends, but not Tati, I can?t-",neutral
itsyaboichoi,lol im unfollowing james charles #cancelledt cz of tati and alannized,positive
anthonyygeorge,"#jamescharlesisoverparty

His met gala look PLUS tati and james charles drama ?? Gurl what?s next https://t.co/wmivBcrrUH",neutral
Iamk_london,tbh all i see on my TL rn is tati and James Charles beef,neutral
liamarigmen,This Tati and James Charles drama ? I?m living. I never liked James Charles anyway lol,positive
OfficialRayonce,Jeffree star and Tati ready to congratulate James Charles on reaching 14M subscribers ?????? https://t.co/bP5tgA33i7,positive
jchanc3llor,YouTuber Tati Westbrook airs her issues with James Charles  https://t.co/Bc2rnHq1nP,neutral
molejinnie,Yall i just finished watching Tati's whole video and ngl tho i almost cried. She's done so so so much for james charles but look what she got in return. Tati had loved and mentored James like he was her own child. And James just completely dismissed her like she wasnt even there+,positive
KFreetage,Tati is like the Thanos of YouTube... she snapped her fingers and ended James Charles like it was nothing,neutral
