Username,Tweet,Sentiment_Value
greenyloueh,"so last week the james charles fans were attacking us for being disappointed at james for saying that he wants to make harry label his sexuality on a video. where are you now? how do you feel? thank you tati, this was needed.",negative
hailYoongissi,What's the story with James Charles and Tati?? I m confused,negative
SweetMcGurran,YALL WHAT DID JAMES CHARLES DO,neutral
mxrcusheng,“i wanted to unsubscribe James Charles on Youtube but I wasn’t following him in the first place” ??????????,positive
ryannickraines,Current favorite pastime: refreshing James Charles’s channel and watching his subscriber count plummet by the thousands every minute ??,positive
kingjeon_ssi,Am i the only one who has never watched any vid of james charles,neutral
The1Dev,"When I saw James Charles’s apology vid..um next and Bye ??? 

I’m glad @GlamLifeGuru had the courage to call James out for who he is and well maybe it’s time that he grows a pair and acts like an adult. Just my opinion?? https://t.co/YszseMiJb8",positive
basically_brii,Everyone after Tati Westbrook  butchered James Charles career #jamescharlesisoverparty #ByeSister https://t.co/zNm3GX4BvI,neutral
LUTIKRISS_,"DEAR James Charles: ( you’re cancelled)
https://t.co/w7eHVmIaTJ ?@jamescharles? you need to hear this. Sometimes you should listen to others. Everybody tweet this ?@jamescharles?.",neutral
joanofarcgrande,"AHAHAHHA my tl is usually full of different people talking about different things (like ari stans, little mix and kpop stans, comedy accounts, etc). but TODAY it’s FULL of james charles and literally everyone i follow EVEN THE CELEBRITIES are tweeting about it",positive
vivienraper,live footage of everyone on this planet when they saw james charles' apology video https://t.co/osXnoHVxGZ,positive
Joshgrn_,James Charles is soooooo cancelled love it.,positive
lostinbocas,so what’s happening with james charles? someone catch me up on the tea ??,neutral
spideysabs,oh also james charles hit 15 mil again big round of applause #jamescharlesisoverparty,negative
carlosgomz01,Me looking down at people who are barely realizing that James Charles is a piece of shit https://t.co/58uW35bfrc,negative
hyhFNdSDS3o0ZMV,idc about james charles but omgawd seeing the number of unsubs he gets every second is crazy,negative
marifer__co,Dude Tati fucking DRAGGED James Charles in her video,negative
ghoulishsoundss,i NEVER liked james charles dude i always have a gut feeling about shitty people!!,negative
thisisshitart,As much as I don’t like James Charles for the love of god please don’t pull the ‘if it was a group of women’ shit like know if it was a group of women you would care just as much if not less.,positive
TheLilPoundcake,James Charles sucks dick in Coachella / Tati Westbrook: https://t.co/K3yR7wrryi,negative
miranda_swings,me @ everyone dragging the ever loving shit out of james charles even though I shouldn't care about this kinda mess https://t.co/s2n5OrjUie,positive
grimweezy,"If James Charles doesn’t get dropped from Ulta and Morphe for being a racist, a sexual predator, &amp; obvi many more things, I will be pissed",positive
curlsss__,James Charles just lost one million subscribers ????,neutral
Arden_Hux,Could someone explain to me why everyone hates James Charles? (I literally ONLY know he’s a makeup influencer),neutral
chlldrmrtn,can someone explain the James Charles drama to me pls I’m sick and confused,negative
inlovewithkloss,Every page refresh James Charles subs go down 30-50 total it’s what he deserves,negative
aleexpeacock,we have been stanning this woman but y’all been too busy wasting your time on mr. james charles...next https://t.co/Q7ksQrPFwg,positive
nevarez_valerie,I wish I could lose weight as fast as James Charles is losing subscribers rn,positive
juirueleeee,Watching this James Charles Livestream Is like watching the presidential election race of 2016 oh my gaw,neutral
jabroniii92,@n14hn_ @robertearl1976 I’m sorry. I’m confused. Can you explain the comparison you’re trying to make here? Or the point? Did James Charles deter the success of Hockey in any form?,negative
dewdropdolans,"oh magic conch, will james charles ever be unproblematic ? https://t.co/Bgtzn4Lcof",positive
xofrecks,I’m still in awe of the articulation and elegance that Tati displayed while completely SHREDDING James Charles like a piece of loose leaf that has your social security number on it,positive
alin_khairina,james charles is cancelled,neutral
CassieRae06,James Charles is really taking a hit for this one. ?? https://t.co/6SbLxoYFjr,positive
TheAdamSass,@MikalebRoehrig @simoncurtis You just ended James Charles,neutral
_kalesssss,And to think I ever liked James Charles ??????? Rip to his career,positive
_wooush,I literally don’t understand what is going on with James Charles right now but damn... Seeing his name start irritating me ?????????,negative
savannahh00,I got on YouTube to look at how many followers James Charles has lost after all of this mess and I kept refreshing it and it was dropping by the HUNDREDS in SECONDS. I HAVE NEVER SEEN ANYTHING LIKE IT!,positive
carri9991,James Charles is literally the definition of a problematic celeb who can’t take responsibility for their actions and thinks being famous will get them out of their problems. Fake crying and heavy breathing into a camera for 8 minutes doesn’t cancel out your mistakes boy bye,negative
imfivef0ur,james charles been ugly and you uglies just realized??,negative
ladypiss,"I can’t wait til jovan and James Charles fist fight to the death, spoiler jovan wins",positive
honeydaegus,i thought everyone hated james charles already before but oh well that’s what you deserve sister!,negative
miillfff_y,Tati really came for James Charles ?? I seen it coming tbh,positive
_jenkneefuur,"Tbh, James Charles has always been trash ?????",neutral
savnahuff,let’s not ever forget that @esims22 single handedly ruined james charles’ career... https://t.co/Gv3VCqkynF,negative
kelseykocher123,go on james charles youtube and keep refreshing the page and watch how fast he’s losing subscribers. the ??,positive
logansofties,"@ James Charles, it doesn’t feel good to get hated on does it? i call this karma.",negative
ElJayM2A,James Charles’ subscribers are going down so fucking much I’m starting to feel bad for the guy??,negative
SuperGarfa,"me after goin on twitter for five minutes and getting hit with james charles, constance wu and gemma chan drama, gay stuff, and apparently tips on how to properly shower https://t.co/syUh3TYT6t",positive
bbygirlofstyles,@JoyFangirl @GlamLifeGuru She aint cancelling anyone. People needed to know who James Charles really is. God I am getting so angry just reading the bullshit that you wrote.,negative
gothgolfcourse,"funny how my sister lives for youtube drama and will watch the videos put out by the people involved, but the second it’s james charles she’s like “idk why they have to make it so public, why can’t they just talk to each other?”",positive
BamBfrom79th,"First Heidi exposes projared for cheating on her for months, now James Charles exposes by Tati for taking advantage of straight men. All in the span of 3 days. https://t.co/BodFjRFmQy",positive
Drizzie__,@AshhleySyn James Charles got exposed,neutral
Daddy_T_Trunks,"James Charles has shown himself to be both racist and transphobic in the past. If you're just now dropping him, you can eat a dick. You should have stopped empowering this trash a long time ago.",negative
andria___03,"James Charles is not an influencer. He is a businessman. He is making money off of his popularity and the more wild he acts, the more followers he gets. Please stop giving people power that doesn’t exist. We are all equal. https://t.co/Jzv7pdshO7",positive
oceanchambie,"so james charles is cancelled

and scientist say that by 2050 there will be more plastic than fish in the ocean",positive
vickblvck,The moment James Charles lost his 16million subscribers. https://t.co/MJcmNvRhKp,neutral
YINANDYUYAN,gonna watch the james charles shit rn will update on my thpughts later,negative
EyeAmWema,It’s been literally hours but I still just read 7 James Charles tweets in a row by 7 different people on my TL,neutral
RyusakiKL,@SmangoKat246 I lost all my respect for James Charles after this. Manipulation by using your stats &amp; also playing on someone's sexuality is sick. Someone's sexuality is not for you to customize,negative
notyourIife,you guys speak an awful lot about james charles to say that you hate him https://t.co/5KgaQWnXX9,negative
dbrighttt,I was never a fan of James Charles but now I’m a negative fan,negative
Tvnzizzle__,The fact that Tati shut down James Charles and sold me on Halo all in the same video really makes her that bitch right now omg let’s all take halo vitamins guys,positive
carsenstokes,Lol I knew I didn’t buy James Charles’ pallete for a reason,positive
HannahMichele69,Ew James Charles #JusticeForTati,neutral
lilimariaaa,i been saying james charles is booty lol,positive
MissPuthinator,@2019_predicts James Charles DID AN OOPSIE https://t.co/D1Cmwu4HqA,neutral
my_tuh,These James Charles tweets are SENDING ME https://t.co/C3f4S7JMMK,neutral
thenaGail,Idk why the James Charles apology video made me uncomfortable ??,negative
AmakeyWoman,James Charles has lost like 600k subscribers and Tati has gained like 500k bc of their videos and im shook this is hilarious. This is so much better than the Laura Leech scandal wow.,positive
Skinnychipchip,james charles watching his subscriber count go down https://t.co/fBX07H46AM,negative
inehoriani,@dumbchambie @shanedawson editing the downfall of James Charles career in his 15 part docuseries https://t.co/BoHUzxuEiL,neutral
Chelseaaura,"??: i am straight 
James charles : and im celebrity https://t.co/OSAHVHlHOH",positive
myg_aj,why is James Charles on my tl tho,neutral
Madsims22,The fact that James Charles tried to force straight men to do sexual things with him really has me fucked up. How can a human think forcing sexuality is okay. The only fucking reason I’m keeping his palette is because my sister spent her hard earned money on it and it’s quality,negative
Bodyrock0714,"Find it hella crazy how James Charles is losing so many followers within a matter of seconds, I'm just sitting here and picturing everyone in the world on their computer or phone just unsubscribing his yt ?? mind blowingggg",negative
largestcolor,I hang and begin to ooze but James Charles cries and creeps away from me.,neutral
EGuzelordu,Idk where all this hate for James Charles came from but I love it!!! keep it up Twitter ??,negative
Jionni_03,All these James Charles/ Tati memes got me ??????????,neutral
CadeSantha,The apology video by James Charles was the WORST apology video YouTube has EVER seen. That was painful to watch.,negative
ratedjeonsomi,Im literally promoting somi’s fancam under tweets about james charles ??????,neutral
stupidiotta,Shane Dawson bouta make a docuseries with James Charles huh,neutral
captainsonj,Whats the james charles drama today i like hating him,neutral
McNallyRoberts,I've never felt more out of the loop than I do right now. Should I know what a James Charles is?,positive
ayeee_brendalee,"This whole James Charles shit is annoying, please get it off my TL. All of y’all in support are soft af. All offense.",negative
kylelantz3,did thanos snap his fingers at James Charles Tour? his fan base is disappearing. must of been his singing ?? https://t.co/dImoKvaAhf,negative
mrvelsmj,if i see that james charles video one more time on my tl y’all ??,positive
DylanHeger,Millie Bobby Brown was right about James Charles,positive
owen_carvalho,James Charles Career: WOMP WOMP WOMP?????? https://t.co/zpmAvt7iDU,neutral
afangirlswords,Woke up at 3am to find out that james charles is cancelled,neutral
mollysharms,@antoniiogarza21 Use code Tati to get 100% off James Charles,neutral
softwandabee,I love how James Charles’s sisters are backing out,positive
ashyboiiiiiiiii,James Charles has left the chat #ByeSister,neutral
incubusimp,@GundamIsHere @Jetsetami You must go undercover and allow yourself to be seduced by James Charles.,neutral
crystalinag_,if u support James Charles please block me,neutral
TeamsuperPTA,"I'm not in anyway condemning any of the things he did, but y'all need to remember that James Charles is a human being, with actual human emotions and all of this which just seems like entertainment to us, is his life right now.

How would you feel if you were in his position?",positive
jsvadd,im following tati and unfollowing james charles after today’s t https://t.co/LNbXDvozIy,neutral
jolene_cuevas,Laura Lee? Cancelled. Olivia jade ? Cancelled. James Charles ? CAN ???? CELLED,neutral
gabbythatcher,i’m so glad everyone is finally realising how shitty james charles is. stan @kurtisconner instead bc he’s so hilarious but also incredible empathetic and considerate and respectful &lt;3 #jamescharlesisoverparty,positive
MollyWhiting7,james charles trying to think of  adjectives for his apology video https://t.co/Jsmk2vyyk6,neutral
caylafalgoust,12:10 and we’re watching james charles sub count go down #jamescharlesisoverparty https://t.co/Hm7n7ovCyf,negative
ruscanelise,"Gm

Not that I really care I’m just curious by nature but wtf happened to James Charles?",negative
badbitenergy,fuck james charles bruh,negative
mikotorindou,"No one:
Lancer: Who the fuck is James Charles",negative
anabananaaa91,@MannyMua733 Me while watching James Charles sub count go down,negative
EMMASMASIONJAR,if you stan this james charles/predator that unfollow button will be waiting for you !,neutral
aisling_ns,i knew james charles sucked but wtf happened why are we canceling him extra hard? (i’ve hated him for a while don’t @ me),negative
Rub_Her_Toe,dang Jose I’m sorry that your baby girl James Charles got cancelled,negative
libbycheesee,throwing a james charles is over party this is such a happy moment for me,positive
lorianababyxoxo,James charles is headed down the laura lee &amp; manny mua path //: but he was starting to get annoying anyway so onto bigger &amp; better things aka @JeffreeStar,negative
orphicyj,if only james charles did this ??  https://t.co/BYQWaKVt11,neutral
regallyjay,I really just spent 10 minutes of my life watching the number of subscribers James Charles has go down,negative
mysticsoos,i never liked james charles from the start and now everyone’s cancelling him and I’m just here like ???? https://t.co/Wg2kOlR0fT,negative
crustinaahxx,@BigNik Are you talking about the whole James Charles and Tati Westbrook situation??? Didn’t know you pay attention to beauty guru’s .,positive
catsrleif,the number of subscribers going down from james charles youtube channel new tv show i highly recommend https://t.co/ML0xDtVocJ,positive
shawnfaithaduna,@JeffreeStar @GlamLifeGuru The moment I watched james charles and jeffree's collab I knew there is something off??,neutral
NMQu33nOfRap,@yonceinthetrap James Charles to divert attention away from himself.,neutral
whydyouhave2BOO,I just remembered I saw James Charles at the Hollywood Bowl at the ptx show in 2017 and Alicia said “I think that was James Charles” as he walked by us and I said “who?” and then I saw him and was like “oh” and then he disappeared and that’s my whole story,positive
coralinecth,"so as of right now James Charles has lost a total of 640,739 subscribers within the past couple hours that is tati’s impact https://t.co/rZemDGOnZO",positive
ayyde04,"i am confused what happened with James Charles and Tati, explain",negative
chloemof,if anyone wants to get rid of their james charles palette ill take it ??,negative
igiarroyo,I am watching the downfall of James Charles subs while Tati might even hit 7 mil today lol https://t.co/ILXR2PW54W,positive
reinaadora,who’s still following james charles????,neutral
ep_korey,ahhhh remember when I was like “James Charles is just a stupid 19 yr old” lol nope i was very wrong about that one fjdjd defs worse than I though,negative
Marlee_19,@SpanosChristina James Charles skipping over tati and apologising to his mommy for some reason?!! https://t.co/aWyiScO7SS,neutral
jjk_kth_scenery,@JudiWithLuv @sopekookv It's from the new Tati's video about James Charles.,positive
ayyoyami,Anybody else struggled watching James Charles 8 min video? It’s so cringe worthy omg.,positive
scorpioqweenbby,"Hopefully when she snaps her fingers James Charles, manny, Laura lee &amp; Gabriel Zamora all evaporate https://t.co/jQy5axTyra",neutral
annelisetalk,I’ve been patiently waiting for everyone to realize James Charles didn’t deserve the subscribers he had and the day finally came that someone called him out THANK. GOD.,neutral
ItsMozartrella,"@RikosUnderpants https://t.co/zIG11qmSnW

Tati Westbrook basically exposing James Charles ??",neutral
ecvernold,even HANK GREEN is in on the tati westbrook x james charles drama 2019 is wild https://t.co/6ng4MM99it,negative
dindin___x,This james charles drama is SO FASCINATING I CANT SLEEP,positive
asdeadasoren,"Me, who has seen right through James Charles' conniving ways since day ONE, now watching everyone else catch up on what was glaringly obvious. https://t.co/Ct1vFsFFMV",positive
lambert_117,JAMES CHARLES FUCKEDDDD UP ??,neutral
peachykiaa,"selling a James Charles Artistry hoodie, the limited edition rainbow one, for $30. XL, very lightly worn, washed once. don't want it anymore",positive
popjeno,so disappointed w james charles tho,negative
gilligansailor,Goodnight. This evening we FEAST upon the advent of the end of James Charles. This is all I will speak about the rest of the weekend. Until ‘morrow.,neutral
glossyphoria,"this isn’t kpop related but.. YALL WHEN I TELL YOU THE LAUGH TRACK I PUT IN WAS ME DEADASS LAUGHING, IT WAS ME OK SJFJD

don’t get me wrong, i had.. uh... idk.. 3 day james charles faze. but.... if Mr. Star aka Jerffree makes a video on this too... ?? https://t.co/Gfic8b0QTW",positive
banatnaaat,james charles lost a million subscribers i’m not even sorry,negative
alifqardawi,"@jannahsufaat i cant tell ALL of the tea bc theres like loads of them if its abt james charles. but the latest one is there was this straight guy who was friends with him, like j* lured him to become gay, which he doesnt want to. like thats a sexual harassment there+",positive
gukkbts,who is james charles,neutral
holllyrebeccaxo,"james charles is losing hundreds of followers by the minutes and i’m NOT mad at it, this dude is the definition of a self absorbed sociopath",positive
silessean,this james charles scandal is giving me life move over professional jared,positive
yannacasacop,James Charles' subs count still dropping. That's what you get if you don't change your shitty attitude.,neutral
SuaveLlave,"James Charles: “I am a power celebrity. I have millions! No one can stop me!”

Tati:”hold my vitamins!”",neutral
Mieraculous,Well I guess James Charles is not Jeffree Star approved huh? ??,neutral
parrisfleur,Yes james charles is doo doo trash( we knew this) but like jeffree st*r is full on racist and everyone in the beauty community just bops along buying his products like??,positive
buckbeaked,imagine being james charles. imagine feeling what he's feeling right now. imagine being treated the way y'all are treating him ??,positive
waysaputro,"Indon gays be like:
Ugh James Charles be leaching on straight guys, gross

*Akun bokep gay is adding new video*
Prank cowo str8
1,267,895,590,016,649 likes

????????????????????????????????????????????????????????????????????????????????????",positive
dhityoz,tati just ended james charles' career omg,neutral
xBerserkerSaix,James Charles working at Starbucks about to serve Tati Westbrook her latte: https://t.co/Dlwsid32bj,neutral
moonicholy,wow congrats on 15 mil james charles :))))))))) you should do a giveaway!!!!!!!!!!!!!!!!!!!!1!1111111111111111111111!!!!!!!!!!!!!!11111111111111111111!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!1!111!1!11111!!!!!1!1!111111!!!!!1!!!!11,positive
J_c_Meyers,James Charles career: GONE,neutral
mangosweet_,for the first time ever i have to watch a JAMES CHARLES VIDEO ON 1.75X SPEED,positive
djconnectte,maybe if james charles stan BTS he would not have getting exposed by tati https://t.co/AYvh1hfl5A,neutral
thelordbianca,James Charles: trying his best to get out a single tear ???? https://t.co/lDumY3Kmsn,positive
albrightmaddy,James Charles is down an entire million subscribers after being exposed only 10 hours ago... wow,negative
saravictoriax0,LOL. James Charles is somewhere crying over this. https://t.co/lskJ0WI7js,positive
peraltastvrk,It took you guys so long to cancel James Charles,negative
crymeariverlove,This James Charles drama has me so disgusted. How can you do these things to anyone? Like what is wrong with your head? I can't believe I EVER supported someone this vile. https://t.co/hwEgrpqlH6,negative
sorryimarly,bitch I’m bored but this James Charles tea oop,negative
xCrystalxMusicx,"This bitch ass did Not just come online and post an apology video trying to make himself cry and very bluntly say he’s not sorry for his actions, he’s sorry for making his actions public. 

James Charles with the worst attempt at an insincere apology video yet ??????? https://t.co/QHGXmaLhYr",negative
_thewastedyoung,im fucking dying at the James Charles tweets,negative
boomerbats,"YALL GO TO JAMES CHARLES YT CHANNEL AND REFRESH IT EVERY SECOND, SUBS COUNT DROPS FOR LIKE 50 EVERYTIME YOU REFRESH IT LMAAAAAOOOOOOO AMERICA LOST WITH THAT WARRIORS WIN BUT THEY TAKING IT BACK WITH THIS JAMES CHARLES SHIT LETS GOOOO",positive
l8tnt,@warriormami I know who James Charles is but idk the other...Lord what do I need to google cuz I thought James was cool.........,positive
HelloimHiigh,"the tl: *shocked because of james charles being exposed by tati*

me who always knew he was trash: https://t.co/4VrGrsZFb1",negative
khough_,"james charles is losing subscribers faster than my weight loss and that’s saying something. 

#jamescharlesisoverparty",neutral
LUTIKRISS_,"DEAR James Charles: ( you’re cancelled)
https://t.co/w7eHVmIaTJ all the young fans of James you should watch this. After this video you should stop watching him. I’m sorry James but you had this coming. Share share share",negative
imaginelarents,Sister Sinking (James Charles/Tati/Daniel Zamora Subcount Palooza) https://t.co/nzlz58RJ82 via @YouTube,neutral
helloitsangiee,james charles subscriber count going down to wii music trap remix https://t.co/rsS4dcPEwi via @YouTube,negative
angelloverr97,james charles should’ve been cancelled long before this tati incident ??????? and now y’all realising on what a shit person he is ??,negative
michumichucat,I'm so entertained watching how James Charles is losing subs,neutral
akacxrey,Rip James Charles career,neutral
R_iccaa,What’s all this james charles drama what did he do?,neutral
anxiiousss,So.. James Charles has been canceled lmaoo I wasted $40 on a mf hoodie???????,negative
J_c_Meyers,Tita brought james charles into the industry and just as easily take him out of it.,positive
zaynslcarus,james charles who??,neutral
mckayla_pdx,fuck james charles https://t.co/uCVpanMLl8,negative
SaniulHQ,Everyone seeing James Charles lose subscribers after Tati ends his career. https://t.co/jLzklwEvmO,neutral
rightupyouralii,chugging wine and watching james charles’ career wither away: the ideal friday night https://t.co/3DXHDzJasp,positive
sparksflvy,Always knew that James Charles is trash...,neutral
stvrkswidow,asif it took a more famous person making a 43 minute video for people to realise James Charles ain't shit,positive
avezchay,i swear we cancel james charles every three months for something different every time the bottom line is hes racist lets go get some fruit,neutral
MFucketBucket,"@Machaizelli James Charles has apparently been a manipulative bastard this entire time, which has completely crushed people who looked up to him (like me), but most importantly Tati Westbrook and her husband, who are amazing people. If you want to support someone, please make it her.",positive
CindyVillarruel,LOVES THESE TWOOO?? James Charles is cancelled https://t.co/MszJs7NJwp,neutral
lilshitdamon,IF YOU'RE READING THIS JUST UN SUB TO JAMES CHARLES,neutral
mistyterrainn,HOLY FUCK SILAGUNNERS CHANNEL IS BACK AND EVERYTHING IS RESTORED. FORGET JAMES CHARLES AND PROJARED THIS IS THE BEST NEWS TO HAPPEN ON YOUTUBE,positive
st0rmKalvin,Honestly I think James Charles has almost become the Onision of the Beauty community ??,positive
punkychula,quick morphe cancel the james charles palette n bring back 35b,positive
Josie_Boz,James Charles trying to force himself to cry in his apology video ?? #jamescharlesisoverparty https://t.co/hHG6Lbj5ln,neutral
derrygrazer,yall remember finn and jaeden dragging james charles before it became mainstream? they did more for the lgbt community than this gay clown did :) https://t.co/kxG2FDke4N,positive
ZoooStation,wtf is tati? who’s james charles?,negative
mishaphilia,James Charles after @GlamLifeGuru exposed him https://t.co/uIvr4OQOeG,neutral
henrysteels,"james charles: sugarbear was there with passes when i needed them for emergency security at coachella :)

tati westbrook: 
https://t.co/YsdtvyqjDl",neutral
emilymascuilli,imagine spending $500 on a james charles meet and greet and then he flatlines,neutral
fxtmasev,i watched both tati and james charles’ videos and for a minute it made me forget that i had other things to do with my time??,negative
RealBWC,James Charles and ProJared may as well become a couple.,neutral
robynnelopez,"James Charles's social Blade went down faster than Laura Lee's ??. 

She still hasn't recovered from that too",negative
krstnangelika,for the first time in forevs James Charles talked slowly in a vid ??,negative
cwitt30,Fuck James Charles,negative
FlowerbombAri,Sis @Evettexo’s James Charles tweet made it on Snapchat ?? https://t.co/4Ai2bjfzi3,neutral
shelleydainton,Me when I came onto Twitter finding out James Charles has had another scandal https://t.co/BsfPxtpI2O,neutral
Jaidyn_myres,james charles accidentally called the green shade in his palette social blade instead of the red one...weird!,negative
skinnyeri,came back to find out that james charles is finally over... we have to thank sana for this https://t.co/kzIwbQ8De1,neutral
ponyboyautomat1,"I love James Charles new look, styled by Tati westbrook ???? https://t.co/RZAUleAnc1",positive
lsabellamarie,"can someone pls tell me what james charles did!!? i don’t feeling like reading or watching 74838478383 vids to understand :,) thanks",positive
karly_menezes,"There’s so much james charles shit on my timeline and I’m lowkey getting annoyed, I’ve seen enough of that dum dum",negative
Rach_Haylee,Laura lee and manny MUA watching James Charles apology video like https://t.co/lfqg2FudRh,neutral
deliaadamm,"Wow so james charles and lele pons both share the same vibe. I mean I didnt like watching them at first, but since they're friends with the influencers I enjoyed watching, I 'accepted' their prensence lmao now look what happens",positive
Aemilius_,"James Charles, exposed and dragged 43 minutes straight! https://t.co/eDnDLnT3wV",positive
bangtan_moos,I'll just say this about the beauty drama: Tati stood by James Charles throughout the Ebola and other racist shit fiasco yet drew the line when it affected her personally. They're BOTH trash.,negative
_tri_ni_ty_,This was literally the first video that popped into my head when I heard about the James Charles deal ?? https://t.co/CqT6vlmZQ5,positive
miyasoty,James Charles got exposed? Omg its a win for the gays,positive
notsamhinton,"Me: *claims I don't care about the beauty community*
Also me: *watches a 45 minute video to see James Charles's career get snatched away from him*",neutral
princesslissyxo,I keep going back to James Charles YouTube channel to see how many subscribers he has lost and it’s still dropping. It’s fun to watch.,positive
MeggiLizReal,"James Charles is officially fucking cancelled ya'll 
#JamesCharles #JamesCharlesIsOver",negative
x_joss5sos_x,@LIET0MEIRWIN The End Of Tati And James Charles' Friendship Has Left Me Sister Shook https://t.co/7FDUR29CyQ,neutral
loveyou_meanitt,"I don’t follow the beauty community, I’ve just always through James Charles was trash, but this drama is !!!!!!!! I really just watched a 45 min video by a woman I’ve never seen before bc the tea is that hot lmao https://t.co/zj5sXRfZwP",positive
JocelynRuizzz,james charles apology video really is the baddest one of all youtuber history like he really took laura Lee's title https://t.co/gpPPiBhIXa,positive
CicisInParties,So can we all finally hate James Charles in unison like a real united country,negative
n8_mn8,james charles's subscriber count is dropping faster than my mood when im alone on a friday night,neutral
baoyoon,I’m gonna laugh at my friend who stans James Charles when I go back to school,positive
adr_2701,@sikeitslili What did he do??? When I looked up James Charles racist I just saw a bunch of ppl talking abt her video and not what he did ??,neutral
AleksSterling,"James Charles appeared in my dream twice last week 
He was sitting alone at Coachella and both times I said hi he gave me a dirty look. Karma really got u this time sister be nice to me next time",positive
lesbiancarwash,use code Tati for 100% off James charles,neutral
Cheezmontage,Thanks to my fiancé I get to enjoy this James Charles drama https://t.co/Squz7fKUIW,positive
_deetari_,LMAO JAMES CHARLES IS GOING SISTER BYE...oh wait it already has...????,positive
ohmalia,Is it me or does James Charles look like roger from American dad,neutral
kimtxaehyung,ThE WHOLE GODDAMN WORLD WATCHING TATI END JAMES CHARLES’ CAREER IN 43 MINUTES https://t.co/7vwRIdeMuk,positive
jakenicholass,so NOW we know why James Charles was practicing .. hope he kept the uniform https://t.co/TknzRPXELu,neutral
myaaex,so ig james charles can suck my fucking dick,negative
beatriceglover1,I was today years old when I found out who this James Charles dude is.... talk about bad first impressions ??,negative
delxalli,fun fact i saw james charles at playlist live 2 years ago he sang and it was shit,positive
preciousaniston,I can’t believe there are people defending James Charles like sis how naive can you be???,negative
